county,date,aqi_mean,aqi_max,pm25_mean,pm25_max,observation_count,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,fire_event_count_radius,smoke_present,min_fire_distance_km,fire_radius_km,aqi_lag_1,aqi_lag_2,aqi_lag_3,aqi_roll3_mean,aqi_roll7_mean,target_next_day_aqi,target_next_day_exceedance
Fresno,2018-01-08,50.375,83.0,,,24.0,13.25,16.7,9.8,9.6,12.5,0.0,0.0,1500.0,150.0,52.625,51.5,63.625,55.916666666666664,117.1547619047619,19.875,0.0
Fresno,2018-01-09,19.875,28.0,,,24.0,12.85,15.1,10.6,18.5,22.7,0.0,0.0,1500.0,150.0,50.375,52.625,51.5,51.5,97.98809523809523,39.625,0.0
Fresno,2018-01-10,39.625,66.0,,,24.0,11.9,14.4,9.4,0.1,13.1,0.0,0.0,1500.0,150.0,19.875,50.375,52.625,40.958333333333336,76.50595238095238,61.0,0.0
Fresno,2018-01-11,61.0,91.0,,,24.0,10.45,14.3,6.6,0.0,10.5,0.0,0.0,1500.0,150.0,39.625,19.875,50.375,36.625,58.88095238095237,61.208333333333336,0.0
Fresno,2018-01-12,61.208333333333336,67.0,,,24.0,8.8,12.9,4.7,0.0,7.4,0.0,0.0,1500.0,150.0,61.0,39.625,19.875,40.166666666666664,48.375,70.95833333333333,0.0
Fresno,2018-01-13,70.95833333333333,85.0,,,24.0,11.2,16.0,6.4,0.0,9.4,0.0,0.0,1500.0,150.0,61.208333333333336,61.0,39.625,53.94444444444445,48.02976190476191,99.625,0.0
Fresno,2018-01-14,99.625,130.0,,,24.0,12.15,20.5,3.8,0.0,9.7,0.0,0.0,1500.0,150.0,70.95833333333333,61.208333333333336,61.0,64.38888888888889,50.80952380952381,83.66666666666667,0.0
Fresno,2018-01-15,83.66666666666667,96.0,,,24.0,11.9,18.6,5.2,0.0,8.7,0.0,0.0,1500.0,150.0,99.625,70.95833333333333,61.208333333333336,77.26388888888889,57.52380952380952,74.41666666666667,0.0
Fresno,2018-01-16,74.41666666666667,93.0,,,24.0,12.15,17.4,6.9,0.0,10.9,0.0,0.0,1500.0,150.0,83.66666666666667,99.625,70.95833333333333,84.75,62.279761904761905,78.33333333333333,0.0
Fresno,2018-01-17,78.33333333333333,100.0,,,24.0,11.1,16.9,5.3,0.0,8.9,0.0,0.0,1500.0,150.0,74.41666666666667,83.66666666666667,99.625,85.90277777777779,70.07142857142857,89.08333333333333,0.0
Fresno,2018-01-18,89.08333333333333,114.0,,,24.0,12.55,19.5,5.6,0.0,9.0,0.0,0.0,1500.0,150.0,78.33333333333333,74.41666666666667,83.66666666666667,78.80555555555556,75.60119047619048,54.708333333333336,0.0
Fresno,2018-01-19,54.708333333333336,104.0,,,24.0,12.8,17.3,8.3,2.0,19.2,0.0,0.0,1500.0,150.0,89.08333333333333,78.33333333333333,74.41666666666667,80.6111111111111,79.61309523809526,45.16666666666666,0.0
Fresno,2018-01-20,45.16666666666666,58.0,,,24.0,8.2,12.5,3.9,0.0,17.3,0.0,0.0,1500.0,150.0,54.708333333333336,89.08333333333333,78.33333333333333,74.04166666666667,78.68452380952381,80.0,0.0
Fresno,2018-01-21,80.0,156.0,,,24.0,6.65,12.1,1.2,0.0,9.6,0.0,0.0,1500.0,150.0,45.16666666666666,54.708333333333336,89.08333333333333,62.986111111111114,75.0,82.58333333333333,0.0
Fresno,2018-01-22,82.58333333333333,130.0,,,24.0,8.9,14.9,2.9,0.0,8.0,0.0,0.0,1500.0,150.0,80.0,45.16666666666666,54.708333333333336,59.958333333333336,72.19642857142857,69.54166666666667,0.0
Fresno,2018-01-23,69.54166666666667,97.0,,,24.0,8.6,14.0,3.2,0.0,8.0,0.0,0.0,1500.0,150.0,82.58333333333333,80.0,45.16666666666666,69.25,72.04166666666666,69.25,0.0
Fresno,2018-01-24,69.25,103.0,,,24.0,10.45,18.4,2.5,0.0,12.1,0.0,0.0,1500.0,150.0,69.54166666666667,82.58333333333333,80.0,77.375,71.3452380952381,40.708333333333336,0.0
Fresno,2018-01-25,40.708333333333336,98.0,,,24.0,11.8,16.6,7.0,6.2,20.3,0.0,0.0,1500.0,150.0,69.25,69.54166666666667,82.58333333333333,73.79166666666667,70.04761904761905,53.208333333333336,0.0
Fresno,2018-01-26,53.208333333333336,97.0,,,24.0,6.8,13.4,0.2,0.0,11.5,0.0,0.0,1500.0,150.0,40.708333333333336,69.25,69.54166666666667,59.83333333333334,63.13690476190476,74.25,0.0
Fresno,2018-01-27,74.25,92.0,,,24.0,7.45,13.0,1.9,0.0,11.1,0.0,0.0,1500.0,150.0,53.208333333333336,40.708333333333336,69.25,54.38888888888889,62.92261904761905,98.20833333333331,0.0
Fresno,2018-01-28,98.20833333333331,147.0,,,24.0,9.05,16.7,1.4,0.0,7.7,0.0,0.0,1500.0,150.0,74.25,53.208333333333336,40.708333333333336,56.055555555555564,67.07738095238095,94.08333333333331,0.0
Fresno,2018-01-29,94.08333333333331,139.0,,,24.0,10.9,18.7,3.1,0.0,10.4,0.0,0.0,1500.0,150.0,98.20833333333331,74.25,53.208333333333336,75.22222222222221,69.67857142857143,88.25,0.0
Fresno,2018-01-30,88.25,128.0,,,24.0,11.4,18.6,4.2,0.0,9.2,0.0,0.0,1500.0,150.0,94.08333333333331,98.20833333333331,74.25,88.84722222222221,71.32142857142857,112.25,1.0
Fresno,2018-01-31,112.25,154.0,,,24.0,10.45,17.6,3.3,0.0,9.5,0.0,0.0,1500.0,150.0,88.25,94.08333333333331,98.20833333333331,93.51388888888887,73.9940476190476,88.8,0.0
Fresno,2018-02-01,88.8,153.0,,,40.0,11.85,18.9,4.8,0.0,9.2,0.0,0.0,1500.0,150.0,112.25,88.25,94.08333333333331,98.19444444444444,80.13690476190474,119.85416666666669,1.0
Fresno,2018-02-02,119.85416666666669,146.0,,,48.0,12.4,20.4,4.4,0.0,9.4,0.0,0.0,1500.0,150.0,88.8,112.25,88.25,96.43333333333334,87.00714285714285,122.89583333333331,1.0
Fresno,2018-02-03,122.89583333333331,156.0,,,48.0,13.35,22.0,4.7,0.0,10.5,0.0,0.0,1500.0,150.0,119.85416666666669,88.8,112.25,106.96805555555557,96.5279761904762,123.0,1.0
Fresno,2018-02-04,123.0,157.0,,,48.0,14.2,23.2,5.2,0.0,9.6,0.0,0.0,1500.0,150.0,122.89583333333331,119.85416666666669,88.8,110.51666666666667,103.47738095238095,101.0625,1.0
Fresno,2018-02-05,101.0625,144.0,,,48.0,13.25,21.5,5.0,0.0,9.5,0.0,0.0,1500.0,150.0,123.0,122.89583333333331,119.85416666666669,121.91666666666667,107.01904761904761,89.33333333333333,0.0
Fresno,2018-02-06,89.33333333333333,109.0,,,48.0,12.85,20.6,5.1,0.0,9.3,0.0,0.0,1500.0,150.0,101.0625,123.0,122.89583333333331,115.65277777777777,108.01607142857144,92.76595744680851,0.0
Fresno,2018-02-07,92.76595744680851,124.0,,,47.0,16.25,24.7,7.8,0.0,10.2,0.0,0.0,1500.0,150.0,89.33333333333333,101.0625,123.0,104.46527777777777,108.17083333333333,62.78260869565217,0.0
Fresno,2018-02-08,62.78260869565217,111.0,,,46.0,14.3,23.9,4.7,0.0,9.7,0.0,0.0,1500.0,150.0,92.76595744680851,89.33333333333333,101.0625,94.38726359338061,105.38739868287742,79.91666666666667,0.0
Fresno,2018-02-09,79.91666666666667,93.0,,,48.0,14.25,22.8,5.7,0.0,10.8,0.0,0.0,1500.0,150.0,62.78260869565217,92.76595744680851,89.33333333333333,81.62729982526467,101.670628496542,82.29166666666667,0.0
Fresno,2018-02-10,82.29166666666667,96.0,,,48.0,14.0,21.8,6.2,0.0,13.6,0.0,0.0,1500.0,150.0,79.91666666666667,62.78260869565217,92.76595744680851,78.48841093637579,95.96527135368487,31.5625,0.0
Fresno,2018-02-12,31.5625,60.0,,,48.0,11.1,17.8,4.4,0.0,20.6,0.0,0.0,1500.0,150.0,82.29166666666667,79.91666666666667,62.78260869565217,74.9969806763285,90.16467611558961,48.083333333333336,0.0
Fresno,2018-02-13,48.083333333333336,75.0,,,48.0,9.65,17.8,1.5,0.0,12.2,0.0,0.0,1500.0,150.0,31.5625,82.29166666666667,79.91666666666667,64.59027777777777,77.10217611558961,45.75,0.0
Fresno,2018-02-24,45.75,67.0,,,48.0,6.65,14.1,-0.8,0.0,16.1,0.0,0.0,1500.0,150.0,48.083333333333336,31.5625,82.29166666666667,53.979166666666664,69.53372373463723,41.645833333333336,0.0
